Date,News
02-01-2020,Disney+ Launches With Huge Library of Movies and TV Shows
03-01-2020,Netflix Announces $15 Billion in New Content Spending
04-01-2020,"Amazon Prime Video Adds New Original Series ""The Marvelous Mrs. Maisel"""
05-01-2020,"HBO Max Launches With Exclusive Content Including ""Friends"" and ""Game of Thrones"""
06-01-2020,"Apple TV+ Launches With Original Series ""The Morning Show"" and ""See"""
07-01-2020,Netflix Stock Plunges After Losing Subscribers for the First Time in a Decade
08-01-2020,Disney+ Surpasses 100 Million Subscribers in Just Over a Year
09-01-2020,Netflix Announces New Ad-Supported Subscription Plan
10-01-2020,Warner Bros. to Release All 2021 Films on HBO Max and in Theaters Simultaneously
11-01-2020,Disney CEO Bob Chapek Says Streaming Is Now the Company's Top Priority
12-01-2020,Netflix CEO Reed Hastings Says the Company Is Not Worried About Competition from Other Streaming Services
13-01-2020,"Apple TV+ Announces New Original Series ""Ted Lasso"" and ""The Shrink Next Door"""
14-01-2020,"HBO Max Announces New Original Series ""Hacks"" and ""The White Lotus"""
15-01-2020,"Amazon Prime Video Announces New Original Series ""The Boys"" and ""Invincible"""
16-01-2020,Netflix Acquires Roald Dahl Story Company for $500 Million
17-01-2020,Disney Launches New Streaming Service Star+ in Latin America
18-01-2020,"Apple TV+ Announces New Original Series ""The Afterparty"" and ""Severance"""
19-01-2020,"HBO Max Announces New Original Series ""Peacemaker"" and ""Winning Time: The Rise of the Lakers Dynasty"""
20-01-2020,"Amazon Prime Video Announces New Original Series ""The Rings of Power"" and ""Reacher"""
21-01-2020,Netflix Acquires Millarworld Comics for $400 Million
22-01-2020,Disney Launches New Streaming Service Hotstar+ in India
23-01-2020,"Apple TV+ Announces New Original Series ""WeCrashed"" and ""Pachinko"""
24-01-2020,"HBO Max Announces New Original Series ""Our Flag Means Death"" and ""Minx"""
25-01-2020,"Amazon Prime Video Announces New Original Series ""The Peripheral"" and ""Night Sky"""
26-01-2020,Netflix Acquires Night School Studio for $70 Million
27-01-2020,Disney Launches New Streaming Service Disney+ Hotstar in Indonesia
28-01-2020,"Apple TV+ Announces New Original Series ""Black Bird"" and ""Slow Horses"""
29-01-2020,"HBO Max Announces New Original Series ""Irma Vep"" and ""Barry"" Season 3"
30-01-2020,"Amazon Prime Video Announces New Original Series ""Paper Girls"" and ""The Boys"" Season 3"
31-01-2020,Netflix Acquires Scanline VFX Studio for $150 Million
01-02-2020,Disney+ Launches New Streaming Service Disney+ Hotstar in Malaysia
02-02-2020,"Apple TV+ Announces New Original Series ""Physical"" and ""Little Voice"""
03-02-2020,"HBO Max Announces New Original Series ""The Flight Attendant"" and ""Made for Love"""
04-02-2020,"Amazon Prime Video Announces New Original Series ""Hunters"" and ""Upload"""
05-02-2020,Netflix Acquires Animal Logic VFX Studio for $400 Million
06-02-2020,Disney+ Surpasses 150 Million Subscribers Worldwide
07-02-2020,"Apple TV+ Announces New Original Series ""The Mosquito Coast"" and ""Lisey's Story"""
08-02-2020,"HBO Max Announces New Original Series ""Mare of Easttown"" and ""Hacks"""
09-02-2020,"Amazon Prime Video Announces New Original Series ""Invincible"" and ""The Boys"" Season 3"
10-02-2020,"Netflix Announces New Original Series ""Stranger Things"" Season 4 and ""The Witcher"" Season 2"
11-02-2020,Disney+ Launches New Streaming Service Star+ in Canada
12-02-2020,"Apple TV+ Announces New Original Series ""Severance"" and ""The Afterparty"""
13-02-2020,"HBO Max Announces New Original Series ""Peacemaker"" and ""Winning Time: The Rise of the Lakers Dynasty"""
14-02-2020,"Amazon Prime Video Announces New Original Series ""The Peripheral"" and ""Night Sky"""
15-02-2020,Netflix Acquires Rovio Entertainment for $6.5 Billion
16-02-2020,Disney+ Launches New Streaming Service Star+ in Australia
17-02-2020,"Apple TV+ Announces New Original Series ""Mythic Quest"" Season 3 and ""Little America"" Season 2"
18-02-2020,"HBO Max Announces New Original Series ""Lovecraft Country"" Season 2 and ""The Undoing"" Season 2"
19-02-2020,"Amazon Prime Video Announces New Original Series ""Upload"" Season 2 and ""ZeroZeroZero"" Season 2"
20-02-2020,"Netflix Announces New Original Series ""Stranger Things"" Season 5 and ""The Witcher"" Season 3"
